Brand,Model,Battery_Life_Minutes,Charging_Time_Hours,Dustbin_Capacity_ml,Suction_Power_Pa,Noise_Level_dB,WiFi_Connectivity,App_Control,Voice_Control,Mapping_Technology,Obstacle_Avoidance,HEPA_Filter,Auto_Dock,Runtime_Adjustment,Carpet_Boost,Number_of_Sensors,Weight_kg,Height_cm,Smart_Scheduling,Multi_Floor_Mapping,Mop_Function,Self_Emptying,Price_USD
Tesvor,Tesvor S94 Ultra,189,4.3,369,3063,66,Yes,No,Yes,Camera,Yes,No,No,Yes,Yes,16,3.6,7.1,Yes,No,No,No,624
iRobot,iRobot R34 Max,77,5.9,432,4271,62,No,Yes,Yes,Camera,No,No,Yes,Yes,Yes,12,4.1,7.5,Yes,No,Yes,Yes,214
Hobot,Hobot R83 Max,164,5.7,378,2095,60,Yes,No,No,Lidar,Yes,No,No,No,Yes,15,4.8,7.9,No,No,No,No,1120
Ecovacs,Ecovacs X59 Max,195,5.5,537,2428,61,No,Yes,No,Lidar+Camera,No,Yes,Yes,Yes,Yes,11,5.1,7.4,No,Yes,No,No,1020
Yeedi,Yeedi X16 Pro,66,3.0,558,2155,63,No,Yes,Yes,Camera,No,No,No,No,No,15,2.6,7.4,No,Yes,Yes,Yes,621
Rowenta,Rowenta X59,61,4.4,520,3204,67,Yes,Yes,Yes,Camera,No,No,No,No,Yes,19,5.1,9.1,Yes,No,Yes,No,568
TCL,TCL X63 Max,92,5.9,622,3694,68,No,Yes,Yes,Lidar+Camera,No,No,No,No,Yes,18,5.1,10.8,Yes,No,Yes,Yes,560
Rowenta,Rowenta R28 Pro,94,3.3,372,4622,60,No,Yes,Yes,Lidar,Yes,No,No,Yes,No,19,3.6,10.2,Yes,No,Yes,Yes,1134
Ultenic,Ultenic V77 Pro,193,5.0,614,4231,63,No,Yes,Yes,Lidar,Yes,No,No,No,Yes,20,4.6,9.7,Yes,No,Yes,No,704
Dyson,Dyson V29 Pro,118,3.8,506,5416,56,No,Yes,Yes,Lidar+Camera,Yes,Yes,Yes,Yes,No,15,2.6,7.8,Yes,Yes,Yes,No,477
Lefant,Lefant R20 Ultra,97,5.9,631,1902,62,Yes,Yes,No,Lidar,Yes,No,No,No,No,8,4.3,9.2,No,Yes,Yes,Yes,196
Panasonic,Panasonic S35,123,5.1,517,4619,63,Yes,Yes,Yes,Lidar+Camera,No,No,Yes,No,No,11,4.9,7.4,No,Yes,Yes,No,428
Proscenic,Proscenic R12 Ultra,124,4.6,413,5021,61,Yes,Yes,No,Lidar,No,No,Yes,Yes,Yes,14,4.6,9.3,No,No,Yes,Yes,1107
Rowenta,Rowenta X68 Max,70,3.0,355,4081,59,No,Yes,Yes,Lidar+Camera,Yes,No,No,Yes,Yes,9,5.0,7.2,No,Yes,No,Yes,935
Tesvor,Tesvor X79 Ultra,170,3.7,650,4769,55,Yes,Yes,No,Lidar+Camera,Yes,Yes,No,Yes,No,16,4.0,8.7,No,Yes,Yes,No,768
Haier,Haier S97 Ultra,171,4.0,375,5045,62,Yes,Yes,Yes,Infrared,No,Yes,Yes,Yes,Yes,7,3.2,8.2,Yes,No,Yes,Yes,695
iRobot,iRobot X44 Pro,138,3.2,550,5059,65,Yes,No,No,Lidar,No,No,No,No,No,8,4.7,7.4,No,No,No,No,1057
Eufy,Eufy V94 Ultra,173,2.7,363,3709,67,Yes,No,No,Camera,No,No,No,Yes,No,15,4.3,7.7,No,Yes,No,Yes,738
Puppyoo,Puppyoo V89 Ultra,96,4.2,545,1526,61,No,Yes,Yes,Camera,Yes,Yes,Yes,No,No,16,4.1,10.1,No,Yes,No,Yes,372
Xiaomi,Xiaomi V55 Pro,168,2.7,548,4181,68,Yes,No,Yes,Infrared,No,No,Yes,No,Yes,17,3.2,9.6,Yes,No,Yes,No,154
Roborock,Roborock V46,114,5.5,362,4469,55,No,No,Yes,Infrared,Yes,Yes,No,Yes,No,10,5.5,10.1,No,Yes,Yes,Yes,554
Bissell,Bissell R82 Max,133,3.6,599,3864,55,No,Yes,No,Lidar,No,Yes,Yes,No,No,11,4.1,9.7,Yes,Yes,No,No,1188
Ecovacs,Ecovacs S56,181,5.0,526,2511,58,No,Yes,Yes,Infrared,No,No,No,No,No,20,4.6,9.5,Yes,Yes,No,Yes,262
Ecovacs,Ecovacs S11,174,4.2,429,1736,63,No,Yes,Yes,Infrared,Yes,No,Yes,Yes,No,11,3.7,10.8,No,Yes,Yes,Yes,580
Honiture,Honiture R43 Max,92,3.2,597,1988,57,Yes,Yes,No,Lidar,No,No,Yes,No,No,18,4.9,8.2,No,No,No,Yes,744
Miele,Miele S81 Max,95,5.9,550,2540,69,No,No,No,Camera,Yes,Yes,No,No,Yes,19,3.3,7.2,Yes,Yes,No,Yes,392
iRobot,iRobot S37,184,4.1,663,4737,69,No,No,Yes,Lidar,Yes,No,No,Yes,No,10,4.3,9.0,No,Yes,Yes,No,783
Honiture,Honiture V46 Max,192,5.5,535,4455,63,Yes,Yes,No,Lidar,Yes,Yes,No,No,No,14,5.0,9.6,No,Yes,Yes,No,427
LG,LG R83 Max,144,5.9,435,2876,57,No,Yes,No,Lidar+Camera,Yes,Yes,Yes,No,Yes,6,4.7,10.8,No,No,Yes,Yes,1178
iRobot,iRobot S90,102,4.1,431,2687,62,No,No,No,Camera,No,No,Yes,Yes,Yes,20,5.1,10.6,Yes,No,Yes,No,587
Yeedi,Yeedi V84 Max,159,5.8,356,1981,57,No,No,Yes,Camera,No,Yes,No,Yes,Yes,13,5.2,10.9,No,Yes,No,No,1119
Dyson,Dyson S29 Pro,152,5.5,376,4978,67,Yes,No,No,Camera,Yes,No,Yes,Yes,Yes,6,3.4,7.1,No,Yes,Yes,No,217
Mamibot,Mamibot X49,191,3.4,625,3617,56,No,Yes,Yes,Lidar,Yes,Yes,Yes,No,Yes,12,3.2,10.4,Yes,No,No,No,1133
Amarey,Amarey R81 Pro,137,3.4,536,5289,59,Yes,No,Yes,Lidar,No,No,No,No,Yes,11,2.7,9.1,No,Yes,No,Yes,593
Rowenta,Rowenta V63 Ultra,169,3.4,602,5128,67,No,No,Yes,Camera,No,Yes,Yes,No,Yes,17,5.0,10.6,Yes,Yes,No,No,301
Neato,Neato R40,141,5.2,571,5927,62,Yes,Yes,No,Infrared,No,Yes,No,Yes,Yes,20,4.1,10.7,No,No,No,Yes,472
Rowenta,Rowenta R85 Ultra,82,3.3,468,1597,70,No,Yes,No,Lidar+Camera,No,No,Yes,Yes,No,17,3.6,8.3,Yes,No,No,Yes,404
Lefant,Lefant X17,88,2.8,454,3900,64,No,Yes,No,Lidar,No,Yes,Yes,No,Yes,12,4.8,8.5,Yes,No,Yes,Yes,217
Bissell,Bissell V21 Max,150,4.2,591,1723,66,No,Yes,No,Infrared,No,Yes,No,No,Yes,11,2.9,10.6,Yes,No,Yes,Yes,814
Zigma,Zigma R33 Ultra,72,4.5,464,4620,65,No,No,Yes,Lidar,Yes,No,No,No,No,8,5.5,10.5,Yes,No,Yes,No,307
Ecovacs,Ecovacs V8,146,3.6,456,3915,55,No,No,No,Infrared,No,Yes,No,Yes,Yes,16,3.5,8.6,No,Yes,Yes,No,526
Ecovacs,Ecovacs X66 Pro,186,3.4,604,4382,67,No,Yes,Yes,Lidar,Yes,Yes,No,Yes,No,20,2.8,10.3,Yes,No,No,Yes,237
Rowenta,Rowenta R13 Pro,66,5.1,583,2202,61,Yes,Yes,Yes,Lidar,Yes,No,No,No,Yes,11,3.1,7.2,No,Yes,Yes,Yes,1149
iRobot,iRobot X16 Pro,146,2.6,392,1575,59,Yes,No,No,Camera,No,No,No,No,No,17,2.6,9.5,No,Yes,No,No,538
ILIFE,ILIFE X71 Ultra,74,5.6,428,4468,56,Yes,Yes,Yes,Infrared,No,No,Yes,Yes,Yes,11,2.5,10.3,No,No,No,No,384
Hobot,Hobot R93 Max,75,3.1,468,2344,70,No,Yes,Yes,Lidar+Camera,Yes,No,No,Yes,No,14,3.6,8.0,No,Yes,No,No,1146
Bissell,Bissell S10 Ultra,133,4.5,386,3041,60,Yes,No,No,Lidar,No,Yes,Yes,Yes,Yes,16,5.0,8.7,No,Yes,No,No,1171
Proscenic,Proscenic R66,182,4.4,405,2029,62,Yes,Yes,Yes,Infrared,Yes,Yes,No,No,Yes,9,3.8,8.6,Yes,Yes,No,No,290
Medion,Medion S74 Pro,121,5.7,650,2614,59,No,No,Yes,Lidar+Camera,No,No,Yes,No,No,10,3.6,7.2,Yes,No,No,No,503
Hobot,Hobot S43 Max,134,4.5,672,1656,63,Yes,Yes,Yes,Lidar+Camera,Yes,Yes,Yes,No,No,10,4.5,7.9,No,Yes,No,No,661
Xiaomi,Xiaomi S56 Ultra,127,5.2,523,3171,58,No,Yes,No,Infrared,No,Yes,No,No,No,12,2.6,10.6,No,Yes,Yes,No,170
Bissell,Bissell R11 Max,91,3.9,558,4470,61,Yes,Yes,Yes,Lidar+Camera,No,No,No,No,No,15,3.3,9.9,No,Yes,No,No,904
iRobot,iRobot X14 Pro,193,3.3,481,4912,61,No,No,Yes,Camera,No,Yes,Yes,Yes,No,7,5.4,7.9,Yes,No,No,No,1065
Viomi,Viomi R17 Max,68,2.5,615,1905,70,Yes,Yes,Yes,Lidar,Yes,Yes,Yes,Yes,Yes,9,5.4,10.4,No,Yes,No,No,877
Haier,Haier S91 Pro,98,2.9,402,1788,55,Yes,Yes,No,Camera,No,No,Yes,No,No,15,2.5,8.3,Yes,Yes,Yes,No,806
Samsung,Samsung V10 Max,181,3.9,390,3162,64,Yes,No,No,Camera,No,No,No,Yes,No,14,4.9,10.5,Yes,Yes,No,Yes,1008
iRobot,iRobot X78 Max,188,3.6,494,1624,56,Yes,Yes,No,Infrared,No,Yes,Yes,Yes,Yes,14,4.0,7.6,No,Yes,No,No,749
Neabot,Neabot S76,134,6.0,659,4099,63,Yes,Yes,Yes,Infrared,Yes,Yes,Yes,No,Yes,16,3.3,10.5,No,No,No,No,878
Shark,Shark R67 Max,105,3.5,545,2488,55,Yes,No,No,Lidar+Camera,Yes,Yes,Yes,Yes,Yes,19,3.6,9.1,Yes,Yes,Yes,No,603
TCL,TCL V15 Max,173,5.3,470,4822,58,Yes,No,Yes,Lidar,No,Yes,No,No,Yes,9,3.2,9.9,Yes,Yes,No,Yes,307
Eufy,Eufy X99 Pro,155,4.7,415,2932,62,No,Yes,Yes,Lidar+Camera,No,No,Yes,Yes,No,18,4.7,9.7,No,No,No,Yes,1162
Shark,Shark S61 Max,90,4.2,562,1538,69,Yes,No,No,Infrared,Yes,Yes,No,Yes,No,7,4.4,7.0,No,Yes,Yes,Yes,846
Shark,Shark V42 Max,85,6.0,352,1940,57,Yes,No,Yes,Lidar+Camera,No,Yes,Yes,No,Yes,18,2.9,8.0,Yes,Yes,No,Yes,588
Miele,Miele V13 Max,189,2.8,444,4543,56,No,Yes,No,Camera,Yes,No,No,No,Yes,10,3.9,9.9,Yes,Yes,No,Yes,191
Zigma,Zigma S23 Pro,121,3.9,572,5566,68,Yes,Yes,No,Lidar+Camera,Yes,No,No,Yes,Yes,12,4.1,9.4,Yes,No,No,No,906
Kyvol,Kyvol S79,188,4.2,362,4242,57,Yes,No,Yes,Infrared,No,No,No,No,No,7,3.4,7.9,No,No,Yes,No,649
Cecotec,Cecotec V65,126,2.8,494,5860,59,Yes,No,Yes,Lidar,Yes,Yes,Yes,Yes,No,18,4.2,7.1,Yes,Yes,Yes,Yes,1110
Hobot,Hobot R23 Max,130,2.7,535,4745,61,No,Yes,No,Lidar+Camera,Yes,Yes,No,Yes,No,9,4.8,10.3,Yes,Yes,Yes,Yes,1176
iRobot,iRobot X8 Pro,92,4.4,606,5259,69,Yes,Yes,No,Lidar,No,Yes,No,No,Yes,20,4.2,9.4,Yes,Yes,Yes,No,1155
Dreame,Dreame R14,69,4.0,695,2307,55,Yes,Yes,No,Lidar+Camera,Yes,No,No,No,No,6,4.6,10.2,Yes,Yes,No,No,1119
LG,LG V62 Max,152,5.5,562,4252,55,Yes,No,No,Lidar,Yes,No,Yes,Yes,No,7,4.1,10.2,Yes,Yes,Yes,No,983
Narwal,Narwal X88,153,4.2,517,4270,66,No,No,No,Camera,No,No,No,Yes,Yes,16,3.4,9.4,Yes,Yes,No,Yes,775
Lefant,Lefant X52 Pro,120,3.2,699,1513,69,Yes,Yes,Yes,Lidar+Camera,Yes,No,No,Yes,No,11,5.3,10.9,No,Yes,Yes,No,1137
Medion,Medion X15 Ultra,119,4.0,396,5574,62,No,No,Yes,Lidar,No,No,Yes,No,Yes,17,3.0,7.7,Yes,No,No,No,928
Kyvol,Kyvol X30 Pro,120,4.0,598,4783,56,Yes,No,No,Infrared,No,No,Yes,Yes,No,9,3.0,9.4,Yes,No,Yes,No,934
Proscenic,Proscenic R90,92,5.8,538,4498,56,No,No,Yes,Lidar+Camera,No,No,No,Yes,No,7,4.1,9.9,No,Yes,No,No,714
Zigma,Zigma S6 Ultra,160,2.9,626,1942,68,Yes,Yes,No,Camera,Yes,No,Yes,No,Yes,12,5.1,9.8,Yes,Yes,Yes,Yes,1074
Samsung,Samsung V42 Max,115,5.2,441,1515,58,Yes,Yes,Yes,Infrared,No,No,Yes,Yes,No,19,3.4,8.5,No,No,No,Yes,175
Ecovacs,Ecovacs V70,114,5.2,651,4494,62,No,No,Yes,Camera,No,No,Yes,No,No,13,4.7,8.2,Yes,Yes,No,Yes,1178
Samsung,Samsung V98 Ultra,169,2.5,548,1527,61,No,No,Yes,Lidar,Yes,Yes,Yes,Yes,Yes,18,4.8,9.5,No,Yes,No,No,486
Puppyoo,Puppyoo R75 Pro,180,4.3,526,2267,65,No,No,Yes,Lidar,Yes,No,Yes,No,No,12,3.2,9.1,Yes,Yes,No,No,818
Ecovacs,Ecovacs V9 Max,61,5.4,653,3908,67,No,No,Yes,Camera,No,No,Yes,No,No,6,3.3,9.1,Yes,Yes,No,Yes,563
Ecovacs,Ecovacs V89 Ultra,82,5.2,528,2323,60,No,Yes,Yes,Lidar,No,Yes,Yes,No,No,10,5.4,8.6,No,No,Yes,No,805
Xiaomi,Xiaomi S96 Ultra,138,4.6,589,3359,66,No,No,No,Lidar+Camera,Yes,Yes,Yes,Yes,Yes,19,3.4,10.1,Yes,Yes,Yes,No,249
ILIFE,ILIFE R85 Max,91,2.9,442,5399,64,Yes,No,No,Camera,Yes,No,Yes,Yes,Yes,6,5.5,7.9,Yes,Yes,No,Yes,1053
Eufy,Eufy X51 Ultra,141,3.5,516,1810,60,Yes,No,No,Lidar+Camera,Yes,Yes,No,Yes,Yes,18,3.8,9.4,No,No,No,Yes,589
Narwal,Narwal S67 Max,128,3.3,583,5473,70,Yes,Yes,Yes,Lidar,No,No,No,No,No,20,4.7,8.3,No,No,No,Yes,441
Hobot,Hobot S27 Pro,113,3.6,434,4039,61,Yes,Yes,No,Camera,Yes,Yes,No,No,Yes,17,4.6,8.1,Yes,Yes,No,Yes,740
Xiaomi,Xiaomi X57 Ultra,103,5.9,575,4390,68,Yes,Yes,Yes,Lidar+Camera,No,No,No,No,Yes,15,4.6,9.8,Yes,No,No,No,623
Kyvol,Kyvol S70 Max,83,5.6,654,2666,65,Yes,Yes,Yes,Infrared,No,Yes,Yes,No,No,14,2.5,10.9,Yes,Yes,No,Yes,364
Lefant,Lefant X94 Pro,154,3.7,439,5715,59,No,No,No,Camera,No,Yes,Yes,Yes,No,20,4.2,10.1,No,No,Yes,No,1019
Proscenic,Proscenic R10 Pro,101,3.8,668,2169,66,Yes,Yes,No,Camera,Yes,Yes,No,No,No,9,2.8,10.1,No,No,No,No,1117
Eufy,Eufy S36 Max,107,5.8,590,2613,61,Yes,Yes,Yes,Lidar,Yes,Yes,Yes,Yes,Yes,17,2.6,7.6,No,Yes,No,No,898
iRobot,iRobot V72,89,5.5,353,3956,69,Yes,No,Yes,Lidar,Yes,No,Yes,Yes,Yes,17,2.7,8.0,Yes,No,Yes,Yes,725
Neato,Neato S88 Pro,102,4.0,403,3196,62,Yes,No,No,Lidar,Yes,No,No,Yes,No,20,3.5,8.5,No,No,Yes,No,250
Shark,Shark V51 Ultra,105,4.6,432,2133,64,Yes,No,Yes,Lidar,No,Yes,No,No,No,10,4.5,8.7,No,Yes,Yes,No,688
Mamibot,Mamibot X9 Pro,60,4.8,522,4934,64,Yes,No,No,Infrared,No,No,Yes,Yes,No,18,3.1,9.8,No,Yes,Yes,No,1069
Lefant,Lefant X41 Max,116,5.7,623,2103,56,Yes,Yes,No,Lidar,Yes,No,Yes,No,No,18,5.0,9.1,Yes,No,Yes,Yes,835
iRobot,iRobot X13 Ultra,155,5.4,668,4053,67,Yes,No,Yes,Infrared,Yes,Yes,Yes,No,No,9,4.3,7.1,Yes,No,No,No,898
Amarey,Amarey X82,152,5.7,423,5588,69,Yes,No,Yes,Infrared,No,Yes,Yes,No,Yes,11,4.0,8.9,Yes,Yes,Yes,Yes,476
Dreame,Dreame V5,182,4.2,459,3162,56,Yes,Yes,No,Camera,Yes,Yes,No,No,Yes,19,4.0,9.4,No,Yes,Yes,No,790
Xiaomi,Xiaomi R95,93,3.9,588,5430,67,No,Yes,Yes,Infrared,Yes,Yes,Yes,Yes,Yes,12,3.8,7.6,Yes,Yes,Yes,No,986
iRobot,iRobot S51,87,5.0,516,4460,68,No,No,No,Lidar+Camera,Yes,No,No,Yes,No,10,3.1,8.1,Yes,Yes,Yes,No,241
Amarey,Amarey X62 Ultra,177,5.5,426,2136,69,No,No,No,Lidar+Camera,Yes,No,No,No,Yes,8,5.1,10.9,Yes,Yes,No,Yes,278
Neato,Neato V91 Pro,73,5.4,646,2693,66,Yes,No,Yes,Infrared,No,Yes,No,No,Yes,10,4.7,10.1,No,Yes,Yes,Yes,1028
Zigma,Zigma S50 Max,76,3.8,621,1807,70,Yes,Yes,No,Lidar,No,No,Yes,No,No,20,3.2,8.0,Yes,Yes,Yes,Yes,527
Zigma,Zigma X6 Max,165,4.6,683,3441,57,No,Yes,Yes,Infrared,No,Yes,No,Yes,Yes,8,2.7,7.0,No,Yes,Yes,No,1107
Hobot,Hobot X85 Ultra,62,4.8,681,3221,56,Yes,No,No,Camera,No,No,No,Yes,No,15,2.8,7.5,Yes,Yes,Yes,Yes,680
Tesvor,Tesvor R88 Max,120,3.7,571,3236,65,Yes,Yes,No,Infrared,No,Yes,No,No,Yes,8,4.3,9.2,Yes,Yes,No,No,577
Miele,Miele R99 Max,88,5.7,635,4344,59,Yes,No,Yes,Lidar,No,No,Yes,No,Yes,12,4.6,9.9,No,No,No,Yes,357
LG,LG S8 Max,191,3.4,462,3912,60,No,No,No,Camera,Yes,Yes,No,Yes,Yes,11,2.7,8.6,Yes,Yes,Yes,Yes,876
Ultenic,Ultenic S77,196,4.5,416,5142,56,Yes,Yes,No,Lidar+Camera,Yes,No,No,Yes,Yes,14,5.3,7.5,No,Yes,Yes,Yes,785
Kyvol,Kyvol R35,103,3.2,455,4943,63,Yes,Yes,Yes,Camera,Yes,No,No,Yes,No,17,2.9,9.8,Yes,Yes,Yes,No,609
Lefant,Lefant X62 Max,148,5.4,534,4350,70,No,Yes,Yes,Lidar,No,Yes,No,Yes,Yes,19,4.8,9.2,No,Yes,No,Yes,321
Haier,Haier R71,72,4.8,382,3822,59,No,No,No,Camera,No,No,No,Yes,Yes,13,4.8,9.4,No,No,No,Yes,899
Panasonic,Panasonic V47 Ultra,89,2.9,642,3731,66,No,Yes,No,Camera,Yes,No,No,No,Yes,6,5.3,9.4,No,No,Yes,No,237
Haier,Haier V82 Max,181,2.6,479,5870,58,No,No,No,Infrared,No,No,Yes,Yes,No,7,3.3,9.5,Yes,No,No,Yes,345
Dyson,Dyson R72 Pro,147,5.1,524,3553,67,No,Yes,Yes,Lidar+Camera,No,Yes,Yes,No,No,13,4.9,9.5,Yes,No,No,Yes,161
Haier,Haier V57 Ultra,114,4.0,559,1992,63,No,No,Yes,Lidar+Camera,Yes,No,No,No,No,7,2.6,10.1,No,Yes,Yes,No,178
TCL,TCL X49 Ultra,71,5.7,567,4101,59,No,No,Yes,Lidar+Camera,No,Yes,No,Yes,Yes,20,4.4,9.3,No,Yes,Yes,No,427
Bissell,Bissell V43,101,3.2,681,3491,56,Yes,Yes,Yes,Lidar+Camera,Yes,No,No,Yes,No,10,5.2,9.9,No,No,No,No,957
Mamibot,Mamibot X51 Ultra,162,3.9,523,2808,66,Yes,No,No,Lidar+Camera,Yes,Yes,No,No,Yes,8,3.7,8.4,Yes,No,No,No,945
Kyvol,Kyvol S45 Max,80,3.2,616,3388,56,No,Yes,Yes,Lidar+Camera,No,No,Yes,No,No,18,2.8,7.2,No,No,Yes,Yes,167
Tesvor,Tesvor X96 Ultra,155,4.7,466,4076,60,Yes,Yes,Yes,Lidar,No,Yes,No,Yes,Yes,13,4.8,8.1,No,Yes,No,Yes,788
Proscenic,Proscenic R61,95,3.0,477,3369,60,Yes,No,Yes,Lidar,Yes,No,No,Yes,Yes,10,5.0,7.1,No,Yes,Yes,Yes,1044
TCL,TCL V26,147,2.8,603,2741,61,No,No,No,Lidar+Camera,No,No,Yes,No,No,17,4.9,8.5,Yes,No,No,Yes,1057
iRobot,iRobot X14,170,3.5,605,5667,66,No,Yes,No,Lidar,Yes,No,No,Yes,No,10,3.2,10.6,No,No,No,Yes,578
Narwal,Narwal X41 Max,131,4.7,513,5588,57,Yes,No,No,Lidar,Yes,No,No,Yes,Yes,6,5.3,7.9,Yes,No,Yes,Yes,439
Roborock,Roborock X94 Max,110,3.2,433,4529,58,Yes,No,No,Camera,No,Yes,Yes,Yes,No,20,3.5,8.7,Yes,No,Yes,No,843
LG,LG R29 Max,135,5.4,418,5329,67,No,Yes,No,Infrared,No,Yes,Yes,No,Yes,8,2.5,8.1,No,Yes,No,No,380
Puppyoo,Puppyoo S12 Ultra,107,4.7,684,5716,61,Yes,No,Yes,Lidar,Yes,No,No,Yes,Yes,16,3.1,10.0,No,No,Yes,No,539
Amarey,Amarey X20 Pro,156,3.1,540,1645,67,No,No,No,Camera,No,Yes,Yes,No,No,6,4.7,9.6,No,No,Yes,No,195
Eufy,Eufy V39 Ultra,147,2.9,695,5965,62,Yes,No,No,Lidar+Camera,Yes,No,Yes,No,Yes,9,4.7,8.0,No,Yes,No,Yes,167
Eufy,Eufy X49,170,2.5,381,3351,66,Yes,No,No,Camera,Yes,No,No,Yes,No,12,5.1,7.5,Yes,No,No,No,993
Dreame,Dreame R94,187,3.1,603,3205,58,No,Yes,No,Lidar+Camera,Yes,No,Yes,Yes,Yes,6,3.9,10.3,Yes,No,Yes,No,367
Lefant,Lefant S51,193,5.8,668,3892,69,No,Yes,No,Lidar,No,Yes,Yes,Yes,No,14,5.3,9.7,No,Yes,No,Yes,631
Shark,Shark S29 Pro,155,5.9,426,2585,70,Yes,No,No,Lidar,Yes,Yes,No,Yes,No,19,5.1,9.9,No,Yes,Yes,Yes,1135
ILIFE,ILIFE S16 Max,67,4.0,484,5081,66,No,Yes,Yes,Camera,Yes,Yes,No,Yes,Yes,16,5.1,9.6,Yes,No,No,Yes,153
Trifo,Trifo S9,113,2.5,433,3928,58,Yes,Yes,Yes,Lidar+Camera,No,No,No,No,Yes,11,4.5,8.0,Yes,Yes,Yes,Yes,941
Neabot,Neabot V30 Pro,85,3.3,458,3822,63,No,Yes,No,Camera,No,Yes,No,No,No,17,3.2,10.6,Yes,Yes,No,No,291
Lefant,Lefant V39,158,5.1,353,2819,67,No,No,Yes,Lidar+Camera,Yes,Yes,Yes,No,Yes,20,4.2,9.8,Yes,No,Yes,Yes,1088
Narwal,Narwal X72 Pro,150,3.3,477,3542,59,No,Yes,Yes,Camera,No,No,Yes,No,Yes,8,3.4,10.3,No,No,Yes,Yes,1116
Eufy,Eufy S98 Ultra,166,3.8,366,2233,63,No,Yes,Yes,Camera,No,Yes,Yes,No,Yes,11,3.1,8.9,Yes,Yes,No,Yes,700
Dreame,Dreame V63,173,5.5,467,3390,68,Yes,Yes,No,Lidar+Camera,No,No,No,No,Yes,6,5.2,10.7,Yes,No,No,No,632
Hobot,Hobot S30,101,5.3,439,5618,67,Yes,No,No,Camera,Yes,No,Yes,No,Yes,10,2.6,7.4,No,Yes,No,Yes,1045
Neato,Neato R73 Max,112,2.5,576,2405,68,Yes,No,Yes,Lidar+Camera,Yes,Yes,No,No,No,13,4.8,9.7,Yes,Yes,Yes,No,776
Puppyoo,Puppyoo V60 Pro,113,4.1,419,2536,66,No,Yes,No,Camera,Yes,No,Yes,Yes,No,13,3.1,9.5,Yes,Yes,No,No,732
Haier,Haier S31 Pro,101,3.5,444,3100,66,No,No,Yes,Camera,Yes,Yes,No,No,No,18,4.6,10.0,Yes,Yes,Yes,Yes,214
Narwal,Narwal X24 Pro,131,4.8,418,1773,69,No,No,Yes,Lidar+Camera,No,Yes,No,No,No,20,2.9,8.4,Yes,Yes,No,Yes,903
Ecovacs,Ecovacs R53 Max,61,4.0,552,2038,55,Yes,No,Yes,Lidar+Camera,No,Yes,Yes,No,Yes,10,4.4,7.5,No,Yes,No,No,861
Roborock,Roborock X44 Ultra,66,5.8,646,5246,67,Yes,Yes,Yes,Infrared,No,No,Yes,No,Yes,9,4.9,8.8,No,No,No,Yes,340
iRobot,iRobot S79 Pro,109,4.5,500,4094,67,Yes,Yes,Yes,Lidar+Camera,No,No,No,No,Yes,11,5.2,8.7,Yes,Yes,Yes,Yes,609
TCL,TCL X18,139,3.5,630,2178,70,Yes,Yes,Yes,Lidar,No,No,No,No,No,11,4.3,9.9,Yes,Yes,Yes,No,1074
Haier,Haier X48,68,5.9,419,4620,61,Yes,No,No,Camera,No,Yes,No,No,Yes,14,2.7,8.0,No,No,Yes,No,825
Samsung,Samsung V60 Ultra,189,5.6,455,5875,65,No,Yes,Yes,Camera,No,No,Yes,Yes,Yes,19,5.3,8.9,Yes,Yes,Yes,Yes,1022
Eufy,Eufy R78 Ultra,129,3.1,407,5663,69,No,No,Yes,Camera,Yes,Yes,No,No,No,11,4.6,8.7,No,No,Yes,Yes,301
Panasonic,Panasonic S14 Max,167,2.9,496,1927,65,Yes,No,No,Lidar,No,No,No,Yes,No,8,3.0,9.3,No,No,Yes,No,1022
Dreame,Dreame X63 Max,142,5.5,670,3059,70,No,No,Yes,Infrared,No,Yes,No,Yes,No,14,4.7,9.0,No,Yes,No,No,212
Samsung,Samsung X88,71,5.5,391,4428,61,No,No,No,Infrared,No,Yes,Yes,Yes,Yes,14,4.1,8.6,Yes,No,No,No,914
Viomi,Viomi X92,132,3.9,689,5937,55,Yes,Yes,No,Infrared,No,Yes,No,No,No,10,4.6,10.8,No,Yes,No,No,291
Ecovacs,Ecovacs R80 Max,130,2.5,590,4449,62,No,No,No,Lidar,No,Yes,Yes,No,Yes,12,2.5,9.6,Yes,No,No,No,1043
Ultenic,Ultenic X98 Pro,64,5.7,418,5994,58,No,Yes,Yes,Lidar+Camera,No,No,No,No,No,13,2.8,10.4,No,No,Yes,No,849
Rowenta,Rowenta V70 Ultra,153,3.0,402,2455,59,Yes,Yes,Yes,Infrared,No,No,Yes,No,Yes,19,5.3,11.0,Yes,No,Yes,No,1164
Proscenic,Proscenic R62 Pro,156,3.5,657,5320,59,Yes,No,No,Camera,Yes,No,No,Yes,Yes,20,3.4,9.4,Yes,Yes,Yes,Yes,864
Neato,Neato S30,105,3.0,403,3921,55,No,No,No,Infrared,Yes,No,No,Yes,No,8,4.9,8.2,No,No,Yes,Yes,380
Dyson,Dyson R87 Ultra,66,5.1,448,4225,69,No,Yes,Yes,Lidar,Yes,Yes,No,Yes,Yes,13,5.3,10.1,No,No,Yes,No,162
Mamibot,Mamibot X38 Ultra,70,3.0,456,4633,68,No,No,Yes,Camera,Yes,No,Yes,Yes,Yes,20,4.9,7.0,Yes,No,No,No,1042
